Age,Gender,Marital,Race_Status,Birth_Place,Language,Occupation,Income_(K)
"[16, 17)","[1, 2)","[6, 7)","[4, 9)","[4, 5)","[1, 2)","[3, 5)",402
"[16, 17)","[1, 2)","[6, 7)","[4, 9)","[4, 5)","[1, 2)","[3, 5)",532
"[16, 17)","[1, 2)","[6, 7)","[4, 9)","[4, 5)","[1, 2)","[3, 5)",411
"[16, 17)","[2, 3)","[6, 7)","[7, 9)","[4, 5)","[1, 13)","[2, 5)",516
"[16, 17)","[2, 3)","[6, 7)","[7, 9)","[4, 5)","[1, 13)","[2, 5)",992
"[16, 17)","[2, 3)","[6, 7)","[7, 9)","[4, 5)","[1, 13)","[2, 5)",472
"[16, 17)","[2, 3)","[6, 7)","[7, 9)","[4, 5)","[1, 13)","[2, 5)",472
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",526
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",411
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",472
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",443
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",452
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",425
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",472
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",155
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",562
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",472
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",472
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",395
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",605
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",476
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",605
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",403
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",726
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",460
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",992
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",411
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",472
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",605
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",476
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",472
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",476
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",494
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",476
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",406
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",472
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",992
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",472
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",395
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",411
"[16, 18)","[1, 3)","[2, 7)","[1, 2)","[1, 3)","[1, 2)","[5, 6)",476
